label_path,log_path,sys_sentence,turn_slu,usr_sentence
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {})",
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'food': {'swedish'}, 'pricerange': {'moderate'}})",moderately priced swedish food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\log.json,Sorry there is no swedish restaurant in the moderate price range,"defaultdict(<class 'set'>, {'food': {'asian oriental'}})",how about asian oriental
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\log.json,yippee noodle bar is a great restaurant serving asian oriental food and it is in the moderate price range,"defaultdict(<class 'set'>, {})",is there anything else
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\log.json,Can I help you with anything else?,"defaultdict(<class 'set'>, {})",could i have the address and phone number
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\log.json,"Sure , yippee noodle bar is on 40428 King Street City Centre","defaultdict(<class 'set'>, {})",phone number
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_143019\log.json,The phone number of yippee noodle bar is 01223 518111 .,"defaultdict(<class 'set'>, {})",thank you good bye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {})",and that well
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'centre'}})",centre
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'food': {'dontcare'}})",can one
